epoch_utc,station,receiver_clock_offset_s,receiver_clock_offset_ns,sigma_s,sigma_ns
2025-04-09T23:59:42,ALGO,-7.57e-09,-7.569999999999999,,
2025-04-10T00:00:12,ALGO,-7.777e-09,-7.777000000000001,,
2025-04-10T00:00:42,ALGO,-7.653e-09,-7.6530000000000005,,
2025-04-10T00:01:12,ALGO,-7.755e-09,-7.755000000000001,,
2025-04-10T00:01:42,ALGO,-7.261e-09,-7.260999999999999,,
2025-04-10T00:02:12,ALGO,-7.805e-09,-7.805,,
2025-04-10T00:02:42,ALGO,-8.131e-09,-8.131,,
2025-04-10T00:03:12,ALGO,-7.353e-09,-7.353,,
2025-04-10T00:03:42,ALGO,-5.429e-09,-5.429,,
2025-04-10T00:04:12,ALGO,-5.86e-09,-5.86,,
2025-04-10T00:04:42,ALGO,-6.004e-09,-6.0040000000000004,,
2025-04-10T00:05:12,ALGO,-5.683e-09,-5.683000000000001,,
2025-04-10T00:05:42,ALGO,-6.114e-09,-6.114,,
2025-04-10T00:06:12,ALGO,-5.821e-09,-5.821,,
2025-04-10T00:06:42,ALGO,-5.667e-09,-5.667000000000001,,
2025-04-10T00:07:12,ALGO,-5.745e-09,-5.745,,
2025-04-10T00:07:42,ALGO,-5.357e-09,-5.356999999999999,,
2025-04-10T00:08:12,ALGO,-5.668e-09,-5.668,,
2025-04-10T00:08:42,ALGO,-5.251e-09,-5.251,,
2025-04-10T00:09:12,ALGO,-5.578e-09,-5.578,,
2025-04-10T00:09:42,ALGO,-5.72e-09,-5.72,,
2025-04-10T00:10:12,ALGO,-6.031e-09,-6.031000000000001,,
2025-04-10T00:10:42,ALGO,-5.659e-09,-5.659,,
2025-04-10T00:11:12,ALGO,-7.341e-09,-7.341,,
2025-04-10T00:11:42,ALGO,-5.03e-09,-5.03,,
2025-04-10T00:12:12,ALGO,-5.866e-09,-5.8660000000000005,,
2025-04-10T00:12:42,ALGO,-5.5e-09,-5.5,,
2025-04-10T00:13:12,ALGO,-5.588e-09,-5.588,,
2025-04-10T00:13:42,ALGO,-5.914e-09,-5.914,,
2025-04-10T00:14:12,ALGO,-5.743e-09,-5.742999999999999,,
2025-04-10T00:14:42,ALGO,-5.455e-09,-5.455,,
2025-04-10T00:15:12,ALGO,-5.368e-09,-5.367999999999999,,
2025-04-10T00:15:42,ALGO,-5.451e-09,-5.4510000000000005,,
2025-04-10T00:16:12,ALGO,-5.924e-09,-5.9239999999999995,,
2025-04-10T00:16:42,ALGO,-5.94e-09,-5.9399999999999995,,
2025-04-10T00:17:12,ALGO,-5.461e-09,-5.461,,
2025-04-10T00:17:42,ALGO,-5.469e-09,-5.469,,
2025-04-10T00:18:12,ALGO,-5.56e-09,-5.56,,
2025-04-10T00:18:42,ALGO,-5.599e-09,-5.599,,
2025-04-10T00:19:12,ALGO,-5.693e-09,-5.6930000000000005,,
2025-04-10T00:19:42,ALGO,-5.289e-09,-5.289000000000001,,
2025-04-10T00:20:12,ALGO,-5.55e-09,-5.55,,
2025-04-10T00:20:42,ALGO,-5.665e-09,-5.665,,
2025-04-10T00:21:12,ALGO,-5.62e-09,-5.62,,
